participant,y_true,y_pred
1,8.240986666666666,4.819596
1,8.550685333333332,4.9200015
1,8.860384,5.2642875
1,9.339910666666666,5.524979
1,9.819438666666667,5.8737936
1,9.923116,5.9178195
1,10.026793333333334,6.369074
1,10.130470666666668,6.869566
1,10.128698666666667,6.921983
1,10.126926666666666,7.047669
1,10.125154666666667,7.4164524
1,9.926798666666667,7.712558
1,9.728441333333334,7.98424
1,9.530085333333334,8.149513
1,9.444502666666667,8.1256695
1,9.35892,8.281655
1,9.273335999999999,8.319759
1,8.845377333333333,8.391375
1,8.417418666666668,8.442627
1,8.439138666666667,8.417316
1,8.460858666666667,8.825144
1,8.482578666666667,8.859426
1,8.582837333333334,8.871503
1,8.683096,8.951603
1,8.783354666666668,9.031598
1,8.858949333333333,9.209665
1,8.934542666666665,9.497371
1,9.010136000000001,9.817741
1,8.817036,9.984368
1,8.623936,10.152904
1,8.79322,10.194374
1,8.962505333333333,10.479102
1,9.131789333333332,10.872999
1,9.209997333333334,10.87113
1,9.288206666666667,10.8774605
1,9.366416,10.903969
1,9.994765333333334,11.280288
1,10.623114666666668,11.385839
1,10.746757333333333,11.464719
1,10.870401333333332,11.513863
1,11.287761333333332,11.857537
1,11.705121333333333,11.980394
1,12.06976,11.980394
1,12.434398666666667,12.41142
1,12.799037333333334,12.682077
1,13.265229333333334,12.771795
1,13.731421333333333,12.905059
1,13.857481333333332,12.9200945
1,13.983541333333333,12.976039
1,14.429469333333333,13.005761
1,14.875397333333334,13.080021
1,14.899702666666666,13.170337
1,14.924008,13.362172
1,14.948313333333333,13.398215
1,14.549558666666666,13.444095
1,14.150804,13.49547
1,13.981916000000002,13.513818
1,13.813029333333334,13.614729
1,13.741734666666668,13.606775
1,13.67044,13.580554
1,13.599145333333333,13.574157
1,13.485313333333334,13.220051
1,13.371481333333334,13.28428
1,13.257649333333333,13.274531
1,13.389610666666668,13.274531
1,13.521571999999999,13.265257
1,13.653531999999998,13.317955
1,13.94302,13.317955
1,14.232508000000001,13.317955
1,14.521996,13.28332
1,14.582826666666666,13.259862
1,14.643656,13.253271
1,14.704486666666666,13.183808
1,14.677253333333335,13.2039585
1,14.650021333333335,13.1471
1,14.929009333333333,13.16935
1,15.207996,13.213623
1,15.486984,13.124436
1,15.677737333333335,13.199404
1,15.868490666666666,13.117888
1,16.059244,13.140657
1,16.175137333333332,13.273135
1,16.291031999999998,13.264325
