number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_lr,params_num_heads,params_num_layers,params_weight_decay,state
27,2.5055761604168967,2026-03-22 18:35:11.600234,2026-03-22 22:20:11.097293,0 days 03:44:59.497059,32,0.20866063951449174,32,0.0001491003609604434,2,1,4.835428052573287e-06,COMPLETE
28,2.3921349906230684,2026-03-22 22:20:11.106293,2026-03-22 22:52:01.255155,0 days 00:31:50.148862,64,0.11351617554889884,64,0.00015630278167067996,2,1,1.1537251891907699e-05,PRUNED
29,2.2594361383459654,2026-03-22 22:52:01.316155,2026-03-22 23:44:50.897302,0 days 00:52:49.581147,32,0.4100906475933643,48,0.0004004790356636357,2,1,0.0026482095074546155,PRUNED
30,2.4635674795501363,2026-03-22 23:44:50.962303,2026-03-23 00:00:06.978239,0 days 00:15:16.015936,128,0.4685984904324945,64,0.004459277004980995,4,1,0.000834988714755772,PRUNED
31,2.474203828021439,2026-03-23 00:00:06.986239,2026-03-23 00:23:26.831471,0 days 00:23:19.845232,64,0.12285629265410777,96,0.00016180185916694196,2,1,1.8773178676478332e-06,PRUNED
32,2.2630794671134447,2026-03-23 00:23:26.839469,2026-03-23 00:42:09.147544,0 days 00:18:42.308075,128,0.10852116487704927,48,0.00019064355061104333,4,1,1.6667037421969e-05,PRUNED
33,2.4473244864249506,2026-03-23 00:42:09.224543,2026-03-23 01:06:37.794871,0 days 00:24:28.570328,64,0.18566813239027638,48,0.00012086764530261125,2,1,1.7114618147461776e-06,PRUNED
34,2.2409117268706638,2026-03-23 01:06:37.801870,2026-03-23 01:56:07.445741,0 days 00:49:29.643871,32,0.12019179428572883,96,0.00013630090729351992,2,1,4.588771384398385e-05,PRUNED
35,2.418101524265542,2026-03-23 01:56:07.453741,2026-03-23 03:27:05.158398,0 days 01:30:57.704657,64,0.18184508382730513,96,0.00017418888302491153,4,1,1.920397198984409e-06,COMPLETE
36,2.503742496011645,2026-03-23 03:27:05.167399,2026-03-23 04:21:35.493343,0 days 00:54:30.325944,64,0.11165850811286901,96,0.0002115364118644017,2,1,0.0032678028519946977,COMPLETE
37,2.4758454675587154,2026-03-23 04:21:35.502343,2026-03-23 05:33:19.114419,0 days 01:11:43.612076,64,0.106307828628941,64,0.00013512496205154076,4,1,3.998228716643498e-06,COMPLETE
38,2.2801069283916524,2026-03-23 05:33:19.123421,2026-03-23 05:47:10.944392,0 days 00:13:51.820971,128,0.20544964229463608,96,0.00010658552795983054,2,1,1.4486528105440848e-06,PRUNED
39,2.5896086647312972,2026-03-23 05:47:11.006393,2026-03-23 07:43:07.645218,0 days 01:55:56.638825,64,0.1516279795567346,32,0.00013195853321790578,4,1,8.38881071192609e-05,COMPLETE
40,2.4651858611472584,2026-03-23 07:43:07.654218,2026-03-23 11:11:52.620392,0 days 03:28:44.966174,32,0.12173047729324303,64,0.0001244742228751105,2,1,5.441761634583872e-06,COMPLETE
