participant,rmse,mae,mape,r,r2,n_samples
1,2.266646700598711,1.4586833175419982,11.77532869610524,0.8716067450244007,0.7562126225503165,3770.0
2,1.9707869438899674,1.5272180372010924,15.119956248260594,0.9042018431592735,0.7865209788148806,3567.0
3,2.3304445533998828,1.7899061803866951,22.11200496384387,0.9076091636290609,0.753603925898706,4253.0
4,2.4070099822463877,1.7836031148540843,14.732068559606267,0.8782783761545819,0.7616766787554977,3901.0
5,3.174521311721433,2.17351980998399,14.843679574709226,0.8257100950058059,0.6600847194173289,3649.0
6,1.6974313833598476,1.2918369095150777,10.391715325439899,0.9349338614819771,0.8625416443073619,3875.0
7,2.3469901628227925,1.7168995055887932,14.415980328833248,0.8595838472990148,0.7070613679134354,3365.0
8,2.488225994460138,1.8984067843160215,20.793980596699914,0.9055906017232992,0.7972837701245848,3909.0
9,2.134318532162025,1.5693244689411945,11.64700680701522,0.9231882611760992,0.8462087143926321,3724.0
10,2.507148097108593,1.9349805424001165,15.68067630271556,0.8954685672776594,0.7072068423860991,3768.0
11,2.574956238976908,1.9817123493952717,17.25114459840294,0.8749064089352593,0.7654553739236613,3797.0
12,2.829232540852823,2.1904605085603857,15.254317749297986,0.9064860866153702,0.7456885751155071,3307.0
13,2.803189181970127,2.112224553671825,15.670104769636062,0.8883600657469538,0.7830070638791038,3834.0
14,3.945449460173064,3.321214180372569,30.74405262765693,0.9401619893466624,0.5738235629360044,3663.0
15,1.6673430999999312,1.1499924110961754,9.255241326823949,0.9453706100796233,0.8851382917319767,3589.0
16,2.95519858376143,2.030457263382215,14.119963536547337,0.9382653705705913,0.7783939401279355,3760.0
