participant,rmse,correlation,r2_score
1,2.266646698389386,0.8716067452537711,0.7562126230255609
2,1.9707869463976804,0.9042018429785483,0.7865209782716011
3,2.3304445536203224,0.9076091634970909,0.7536039258520921
4,2.4070099756583994,0.8782783771340905,0.76167668006008
5,3.174521315998933,0.8257100945028585,0.660084718501293
6,1.6974313899014302,0.9349338608816432,0.8625416432478845
7,2.346990163600259,0.8595838472242616,0.7070613677193571
8,2.4882259937245848,0.9055906017646761,0.7972837702444362
9,2.1343185387610726,0.9231882607870106,0.8462087134416251
10,2.5071480907109436,0.8954685679181167,0.7072068438803769
11,2.574956239974053,0.874906408830264,0.7654553737420077
12,2.829232537850758,0.9064860866378222,0.7456885756552009
13,2.803189177219722,0.8883600660444417,0.7830070646145549
14,3.9454494515527783,0.9401619895997956,0.5738235647982829
15,1.6673430953175845,0.9453706104045745,0.8851382923771016
16,2.9551985781183174,0.9382653706237851,0.7783939409742732
