participant,y_true,y_pred
1,18.039507999999998,18.158484
1,17.793896,18.07723
1,17.54828266666667,18.032866
1,17.539521333333333,18.005323
1,17.53076,17.990673
1,17.407992,17.986706
1,17.285222666666666,17.98951
1,17.0503,17.982458
1,16.815378666666664,17.95982
1,16.660354666666667,17.926397
1,16.505330666666666,17.890366
1,16.350306666666665,17.857462
1,16.460596,17.829765
1,16.570885333333333,17.80615
1,16.681174666666667,17.784298
1,16.649804,17.761763
1,16.618434666666666,17.736326
1,16.58706533333333,17.707048
1,16.667616000000002,17.673264
1,16.748166666666666,17.635498
1,16.795264,17.593443
1,16.842361333333336,17.546738
1,16.889457333333333,17.495035
1,16.50274,17.438395
1,16.116022666666666,17.37695
1,16.08996,17.311483
1,16.063898666666667,17.243002
1,16.037837333333332,17.172636
1,15.841619999999999,17.101215
1,15.645402666666666,17.029661
1,15.449183999999999,16.958733
1,15.322381333333333,16.888725
1,15.195578666666666,16.819695
1,15.021930666666668,16.751316
1,14.848282666666668,16.683767
1,14.674634666666668,16.616892
1,14.836810666666667,16.550583
1,14.998987999999999,16.485136
1,15.161164,16.420404
1,15.018076,16.357025
1,14.874988,16.294949
1,14.7319,16.234055
1,14.756725333333334,16.17392
1,14.781550666666666,16.113775
1,14.806377333333334,16.052048
1,14.637330666666667,15.986625
1,14.468284,15.914222
1,14.299237333333334,15.829377
1,14.355648,15.727065
1,14.412058666666665,15.610988
1,14.468469333333333,15.482834
1,14.307139999999999,15.325976
1,14.145810666666666,15.152694
1,13.984481333333333,14.984695
1,13.949602666666665,14.818119
1,13.914724,14.649579
1,13.879844,14.497972
1,13.884186666666668,14.339327
1,13.888527999999999,14.189774
1,13.892869333333335,14.052158
1,14.285386666666666,13.926466
1,14.677902666666666,13.791948
1,14.679165333333334,13.659987
1,14.680428,13.528725
1,14.681690666666666,13.387447
1,14.629481333333333,13.24474
1,14.577271999999999,13.107969
1,14.525062666666667,12.97685
1,14.540159999999998,12.851385
1,14.555258666666665,12.731171
1,14.359510666666665,12.616357
1,14.163764,12.501735
1,13.968016,12.392011
1,13.634589333333333,12.283444
1,13.301161333333333,12.178858
1,12.967734666666667,12.080593
1,12.63252,11.989096
1,12.297304,11.904514
1,11.962089333333333,11.827009
1,11.935198666666667,11.757147
1,11.908308,11.695069
