family,causal_steady_rmse,causal_steady_lo,causal_steady_hi,causal_transition_rmse,causal_transition_lo,causal_transition_hi,causal_ratio,causal_ratio_lo,causal_ratio_hi,oracle_steady_rmse,oracle_steady_lo,oracle_steady_hi,oracle_transition_rmse,oracle_transition_lo,oracle_transition_hi,oracle_ratio,oracle_ratio_lo,oracle_ratio_hi
Linear,2.029127959904129,1.7087544785882505,2.450869063859064,2.949225664074603,2.587334744470047,3.3251595986436797,1.5737506103829588,1.3073440304010207,1.8566147062362064,2.140546940142903,1.834567570551438,2.496347925103231,3.56483041340457,3.1797368000873916,3.960533542820942,1.8087361231830377,1.4981297115195042,2.162350192922157
Tree,1.8469621638369869,1.6157292222361563,2.1233584568853385,2.7281870597119204,2.4015246208634298,3.054029473985258,1.5567019017862267,1.3384194829975238,1.7754048702852439,1.9541413194236912,1.755705701260416,2.1924797276036534,3.145417686914899,2.806296227914788,3.5148628934911064,1.6841996527271899,1.4363169066317076,2.0063477590577
Temporal,1.9227313916676967,1.6900110523427077,2.1954151940618956,2.7477738582882463,2.478402949267342,3.0352047961381086,1.5374472428027401,1.3133861430180243,1.805024402617011,1.9227356540366527,1.729441068020768,2.161225675664819,3.087333581284656,2.9193160621621894,3.2659643847946422,1.6866128056816283,1.5351236553000112,1.846302323378097
