model,model_rmse,pooled,ci_lo,ci_hi
TCN,2.4315448180361323,20.251774043679646,16.379984543547863,25.209942362476664
RF,2.5074804058758975,21.57750523812103,18.502141705185977,24.643820732645707
XGB,2.477370617734384,21.047082981212153,17.964121158420046,24.49959109637839
RIDGE,2.7393238377188256,25.868219257244665,21.907133168868807,30.95955002228272
