participant,crossing_s
1,16.889100288064494
2,27.26282018657567
3,15.157580426061088
4,11.69786192617599
5,12.212523782760409
6,33.326085338922795
7,15.446446730971491
8,16.32013306298595
9,16.228020621628698
10,11.722940479829685
11,24.12485987687185
12,26.119177114819916
13,21.186657275368432
14,48.05696520320073
15,17.738869817085863
16,15.040414183580614
