model,model_rmse,median,q1,q3,ci_lo,ci_hi,n_censored,min,max
TCN,2.4315448180361323,16.60461667552522,15.12828886544097,24.623439186358866,15.157580426061088,24.12485987687185,0,11.69786192617599,48.05696520320073
PATCHTST,2.4343656997819747,18.538322660283804,15.61075966714843,23.718967751860504,15.632917486902947,23.02956432768076,0,9.37052012802436,52.160666262744556
RF,2.5074804058758975,20.520091934797822,16.44917834263844,26.668469362384148,16.515561792757204,26.411413497812497,0,11.80103458035166,32.78261161067937
RIDGE,2.7393238377188256,24.909131826592578,21.24412356096908,26.406395399691284,21.42147278772884,26.392286800804666,0,13.184187737227164,55.40224567466814
GRU,2.482598947549163,19.493635821584945,16.468717158110824,25.562017435548633,16.79426373309091,24.994893419291113,0,12.621687144550718,44.060313536006156
LSTM,2.520186866901361,19.188548777074868,15.250498428414343,22.573916962775595,15.250498428414343,22.573916962775595,1,10.702354904067247,49.23123401153038
TFT,2.506180797969004,20.773270170140584,17.838982432702863,23.690192334205264,17.952434877031724,23.333477560089115,0,11.414509810630996,44.916385203573334
XGB,2.477370617734384,21.18276047692774,16.749481675625567,25.264560721818782,17.098124224471263,25.19331091752305,0,12.083312665370416,38.26812513432067
