participant,rmse,correlation,r2_score
1,1.9514222097813634,0.916670227095705,0.8193050406917386
2,2.3238412106499124,0.9090814765977329,0.7031830157609184
3,1.956058549972728,0.941230418526115,0.8264119057750561
4,1.9490261415433268,0.9205827064266338,0.8437406231095608
5,2.317946736060722,0.9284267051729228,0.8187737522462074
6,2.361395610506908,0.8734830486142099,0.7339739336180634
7,2.2306009441793635,0.8611626956137047,0.7353951050217336
8,2.5482360242997344,0.9253872749674351,0.7873878021581111
9,2.430382703085062,0.9078992879703589,0.8005828119437262
10,2.0626156762548957,0.9217497477726263,0.8018301527269105
11,2.477961385732851,0.8849158760111522,0.7827924833338757
12,3.3168052801233587,0.9209408952606251,0.6504828146606532
13,2.6431776466503494,0.9090833854096846,0.8070727894854242
14,4.093222474478619,0.9443390716170882,0.5413016635115895
15,2.0670782082782027,0.9630104991420774,0.8234616208623438
16,2.174946308463631,0.9746805748026603,0.8799656976340667
