participant,y_true,y_pred
1,18.039507999999998,17.11112
1,17.793896,17.290516
1,17.54828266666667,17.28322
1,17.539521333333333,17.148323
1,17.53076,16.889576
1,17.407992,16.720692
1,17.285222666666666,16.752977
1,17.0503,16.808067
1,16.815378666666664,16.87369
1,16.660354666666667,16.978426
1,16.505330666666666,16.925287
1,16.350306666666665,16.669159
1,16.460596,16.525867
1,16.570885333333333,16.696947
1,16.681174666666667,16.917648
1,16.649804,17.090601
1,16.618434666666666,17.123465
1,16.58706533333333,16.942238
1,16.667616000000002,16.730421
1,16.748166666666666,16.566511
1,16.795264,16.501867
1,16.842361333333336,16.494005
1,16.889457333333333,16.633478
1,16.50274,16.686256
1,16.116022666666666,16.627422
1,16.08996,16.45273
1,16.063898666666667,16.312853
1,16.037837333333332,16.062283
1,15.841619999999999,15.821623
1,15.645402666666666,15.696415
1,15.449183999999999,15.816214
1,15.322381333333333,15.99921
1,15.195578666666666,16.098698
1,15.021930666666668,16.018124
1,14.848282666666668,15.918304
1,14.674634666666668,15.79524
1,14.836810666666667,15.700708
1,14.998987999999999,15.543886
1,15.161164,15.5045805
1,15.018076,15.460829
1,14.874988,15.399243
1,14.7319,15.260344
1,14.756725333333334,15.144781
1,14.781550666666666,14.964997
1,14.806377333333334,14.92332
1,14.637330666666667,14.923131
1,14.468284,14.854253
1,14.299237333333334,14.689517
1,14.355648,14.59305
1,14.412058666666665,14.474605
1,14.468469333333333,14.305796
1,14.307139999999999,14.097795
1,14.145810666666666,14.095624
1,13.984481333333333,14.083435
1,13.949602666666665,14.00371
1,13.914724,13.860049
1,13.879844,13.784709
1,13.884186666666668,13.666529
1,13.888527999999999,13.734608
1,13.892869333333335,13.497365
1,14.285386666666666,13.124707
1,14.677902666666666,12.874554
1,14.679165333333334,12.855191
1,14.680428,12.806977
1,14.681690666666666,12.87943
1,14.629481333333333,12.723183
1,14.577271999999999,12.531216
1,14.525062666666667,12.3549795
1,14.540159999999998,12.505679
1,14.555258666666665,12.557319
1,14.359510666666665,12.618279
1,14.163764,12.516011
1,13.968016,12.232427
1,13.634589333333333,12.008678
1,13.301161333333333,11.846605
1,12.967734666666667,11.730359
1,12.63252,11.808935
1,12.297304,11.760609
1,11.962089333333333,11.677302
1,11.935198666666667,11.591702
1,11.908308,11.632322
1,11.881418666666667,11.540217
1,11.668650666666668,11.41005
1,11.455882666666666,11.30991
1,11.243116,11.328941
1,11.209256,11.247414
1,11.175396000000001,11.159572
1,11.110798666666666,11.09642
1,11.0462,11.08115
1,10.981601333333334,10.98493
1,11.088064,10.878315
1,11.194525333333333,10.787213
1,11.300988,10.820821
1,11.2127,10.866763
1,11.124412000000001,10.911572
1,11.036125333333333,10.9530735
1,11.1746,11.105368
1,11.313075999999999,11.242348
1,11.451552,11.402638
1,11.544522666666667,11.688896
1,11.637494666666667,11.956487
1,11.842,11.934002
1,12.046504,11.700653
1,12.251009333333332,11.582938
1,12.268705333333333,11.519109
1,12.2864,11.439293
1,12.304392,11.412172
1,12.322384,11.52182
1,12.340376,11.7706175
1,12.358366666666667,11.801216
1,12.258030666666667,11.769233
1,12.157693333333333,11.861485
1,12.06306,12.117763
1,11.968428000000001,12.299738
1,11.873794666666667,12.3742
1,11.670985333333332,12.51543
1,11.468176,12.581845
1,11.284058666666667,12.415033
1,11.099942666666667,12.253802
1,10.915825333333334,12.247344
1,10.955549333333334,12.312213
1,10.995273333333333,12.29031
1,11.060957333333334,12.226638
1,11.12664,12.178909
1,11.192322666666668,12.170213
1,11.416532,12.032525
1,11.640741333333334,11.925545
1,11.532730666666666,11.925585
1,11.424721333333334,12.045813
1,11.316710666666665,12.04676
1,11.361422666666668,11.921338
1,11.406133333333333,11.814369
1,11.450845333333334,11.793336
1,11.459549333333333,11.568074
1,11.468253333333333,11.579518
1,11.476957333333333,11.663166
1,10.991226666666666,11.652918
1,10.505495999999999,11.450779
1,10.395354666666668,11.338073
1,10.285212,11.331732
1,10.175069333333333,11.33251
1,10.196809333333334,11.126607
1,10.218549333333334,10.96174
1,10.240290666666667,10.887852
1,10.290718666666667,10.929769
1,10.341145333333333,10.889245
1,10.268604,10.853554
1,10.196061333333335,10.859813
1,10.123518666666667,10.905411
