model,best_cutoff_hz,best_cutoff_label,rmse,std_rmse,corr,r2
OLS,0.009,0.009,2.7620075920012264,0.6718565909628395,0.8971539957103062,0.7024053432246777
Ridge,0.009,0.009,2.7102491812225855,0.5872881116172157,0.8969201908066782,0.716320458394091
Lasso,0.009,0.009,2.7371822279069127,0.6296624020296099,0.8962366974894471,0.7091873945522038
ElasticNet,0.009,0.009,2.726988322246994,0.5555063545750173,0.89678532729613,0.712960823498348
RF_9t_2f,0.01,0.01,2.7978233453530708,0.44048585241294386,0.8810418169900842,0.6942696223654444
RF_50t,0.015,0.015,2.927550877146393,0.5048011641707156,0.8620477864617997,0.6587358384591551
RF_200t,0.007,0.007,2.9210823418256946,0.4128113713721862,0.8675830830705313,0.6637821445178672
