participant,rmse,mae,mape,r,r2,n_samples
1,2.1026612365996837,1.5162205273839664,12.249531728578322,0.9009161974340336,0.7864539699941911,3950.0
2,1.821709927484248,1.3791161674643417,12.127527450832611,0.9504414551941972,0.81138453838486,3747.0
3,1.9790259894976838,1.5349035709503893,17.122027092777927,0.9316990564586659,0.8229256570336174,4433.0
4,2.2638598235433007,1.6936030854293922,13.850576414177167,0.8969265970871053,0.7872192866693475,4081.0
5,2.347613882509761,1.8659012156895896,14.336786054366202,0.9317122771518531,0.8118580463085732,3829.0
6,2.621030147082985,2.0130690661859783,15.021734934250025,0.8725526780127549,0.6747114427028402,4055.0
7,3.2832357831114787,2.578581214088582,19.613444782121377,0.8118495812824826,0.4048898010195191,3545.0
8,2.6253110004557394,2.0182415029614122,20.956450507797033,0.8960726418970669,0.7708786673591654,4089.0
9,1.9933405358564333,1.5858387739907385,11.62797172305768,0.9351224248520639,0.8613006275268695,3904.0
10,2.243017093864066,1.7656539205961592,14.549932763086082,0.9038125493713949,0.767516101099756,3948.0
11,2.54200607169679,1.856056057546276,14.323557104958995,0.8796741082827111,0.768165708983589,3977.0
12,3.0195813030336764,2.38750372805725,16.094377288475588,0.9117589495847646,0.7168115126221651,3487.0
13,2.459698874189829,1.9035945806067653,14.079228879002848,0.9155722681100267,0.833895323143704,4014.0
14,3.1625865800092963,2.7693380929789506,27.131708617023996,0.951999343826505,0.7171627324141427,3843.0
15,2.1551683477434147,1.7931577838002135,14.398307113618145,0.9533322305602611,0.7992769751785047,3769.0
16,2.2052825735709995,1.6891436094561347,12.397834231054828,0.9673227455379566,0.8713454945578505,3940.0
