participant,rmse,correlation,r2_score
1,2.1026612358144425,0.9009161973880527,0.7864539701536892
2,1.821709929516656,0.9504414550013947,0.8113845379639988
3,1.979025994964485,0.9316990559256977,0.8229256560553277
4,2.263859821184696,0.896926597309715,0.787219287112719
5,2.34761388071834,0.9317122772311097,0.8118580465957086
6,2.6210301424169438,0.8725526784785872,0.6747114438610182
7,3.2832357832643835,0.8118495809799164,0.40488980096408866
8,2.6253109973719466,0.896072642342503,0.7708786678974352
9,1.9933405349803524,0.9351224248861374,0.8613006276487873
10,2.2430170941183385,0.9038125493124306,0.7675161010470463
11,2.542006071460778,0.8796741083628785,0.7681657090266383
12,3.019581310157129,0.9117589494776965,0.7168115112860332
13,2.4596988713287393,0.9155722682870211,0.8338953235301255
14,3.162586580994103,0.9519993436559958,0.7171627322379956
15,2.155168342399178,0.9533322308942729,0.7992769761739827
16,2.2052825772023614,0.967322745250436,0.8713454941341487
