participant,rmse,correlation,r2_score
1,2.4508400472021656,0.9024648138269463,0.7069437889927133
2,2.2625739336872517,0.8893345412859767,0.7069751011197714
3,2.4840747007013135,0.8841370296308153,0.7198699912383013
4,2.426937390017787,0.8741543370983885,0.7531078152824555
5,2.7953847503498324,0.8812992402723827,0.7301491427343585
6,1.9823049928821548,0.9189663483814696,0.81187405586875
7,2.5050729195616412,0.834949623801139,0.6525583842500602
8,3.0789342500475043,0.9128655369565909,0.6828805016020338
9,2.3913953353372914,0.9218556788887988,0.7996811986862611
10,2.1193948175332107,0.8906966015487613,0.7904421816038042
11,2.8844827032380786,0.8939467008623891,0.699539279561095
12,3.425678227004314,0.9204621398856703,0.6321551996711878
13,2.958361236672807,0.8940248595833585,0.7570503441969691
14,4.247250679193505,0.9039809372441039,0.4866085595663999
15,2.423649465537514,0.8874294100043301,0.7456416423505904
16,3.298700251405898,0.9342978685134522,0.7094349214386393
