model,n,k_mean,direct,ridge,resid_k1,resid_kLF,p_direct_vs_k1,p_direct_vs_kLF,kLF_better_n
patchtst,16,0.7185333572361214,2.4265705729933043,2.7666165124487874,2.551640445058064,2.4964667609142372,0.252227783203125,0.5618896484375,7
tcn,16,0.48636462501245925,2.4315448193788143,2.787238836123888,2.7121634591795365,2.6150512927175633,0.705718994140625,0.14385986328125,4
gru,16,0.7002004762013118,2.4700269009906117,2.771333945467263,2.4993726456340712,2.424356132451326,0.705718994140625,0.596588134765625,9
lstm,16,0.7214081614572881,2.520186869543056,2.787238836123888,2.548302898284321,2.506378479531786,0.979949951171875,0.820892333984375,9
tft,16,0.555000414201255,2.506180796674764,2.787238836123888,2.686741694786418,2.6313669475514523,0.2978515625,0.2978515625,6
