participant,y_true,y_pred
1,18.039507999999998,16.238703
1,17.793896,16.321957
1,17.54828266666667,16.376356
1,17.539521333333333,16.381687
1,17.53076,16.317068
1,17.407992,16.181965
1,17.285222666666666,16.031706
1,17.0503,15.949088
1,16.815378666666664,15.980339
1,16.660354666666667,16.073013
1,16.505330666666666,16.096827
1,16.350306666666665,15.997613
1,16.460596,15.856361
1,16.570885333333333,15.78888
1,16.681174666666667,15.855265
1,16.649804,15.993231
1,16.618434666666666,16.051746
1,16.58706533333333,15.96999
1,16.667616000000002,15.82254
1,16.748166666666666,15.686187
1,16.795264,15.574465
1,16.842361333333336,15.478525
1,16.889457333333333,15.410855
1,16.50274,15.373458
1,16.116022666666666,15.326919
1,16.08996,15.248319
1,16.063898666666667,15.160681
1,16.037837333333332,15.082453
1,15.841619999999999,15.015782
1,15.645402666666666,14.973578
1,15.449183999999999,14.968904
1,15.322381333333333,14.985691
1,15.195578666666666,14.983635
1,15.021930666666668,14.941967
1,14.848282666666668,14.875136
1,14.674634666666668,14.805798
1,14.836810666666667,14.740416
1,14.998987999999999,14.671454
1,15.161164,14.58708
1,15.018076,14.487468
1,14.874988,14.392899
1,14.7319,14.325526
1,14.756725333333334,14.281227
1,14.781550666666666,14.247458
1,14.806377333333334,14.233923
1,14.637330666666667,14.2367525
1,14.468284,14.191286
1,14.299237333333334,14.063036
1,14.355648,13.923074
1,14.412058666666665,13.831521
1,14.468469333333333,13.773334
1,14.307139999999999,13.720121
1,14.145810666666666,13.698261
1,13.984481333333333,13.710638
1,13.949602666666665,13.67813
1,13.914724,13.559915
1,13.879844,13.424518
1,13.884186666666668,13.347277
1,13.888527999999999,13.343066
1,13.892869333333335,13.34779
1,14.285386666666666,13.263745
1,14.677902666666666,13.075651
1,14.679165333333334,12.882037
1,14.680428,12.733079
1,14.681690666666666,12.645252
1,14.629481333333333,12.576455
1,14.577271999999999,12.505831
1,14.525062666666667,12.453042
1,14.540159999999998,12.421921
1,14.555258666666665,12.390953
1,14.359510666666665,12.357909
1,14.163764,12.321081
1,13.968016,12.2501
1,13.634589333333333,12.133581
1,13.301161333333333,12.007391
1,12.967734666666667,11.92545
1,12.63252,11.902282
1,12.297304,11.890941
1,11.962089333333333,11.847794
1,11.935198666666667,11.787757
1,11.908308,11.735478
1,11.881418666666667,11.678791
1,11.668650666666668,11.606746
1,11.455882666666666,11.5380535
1,11.243116,11.482591
1,11.209256,11.419148
1,11.175396000000001,11.335959
1,11.110798666666666,11.257854
1,11.0462,11.211046
1,10.981601333333334,11.187688
1,11.088064,11.161767
1,11.194525333333333,11.123303
1,11.300988,11.100824
1,11.2127,11.148182
1,11.124412000000001,11.293527
1,11.036125333333333,11.5052185
1,11.1746,11.718652
1,11.313075999999999,11.887409
1,11.451552,12.007673
1,11.544522666666667,12.104272
1,11.637494666666667,12.19142
1,11.842,12.244721
1,12.046504,12.243829
1,12.251009333333332,12.215239
1,12.268705333333333,12.184343
1,12.2864,12.152111
1,12.304392,12.124462
1,12.322384,12.1177845
1,12.340376,12.137737
1,12.358366666666667,12.172099
1,12.258030666666667,12.215728
1,12.157693333333333,12.278988
1,12.06306,12.36679
1,11.968428000000001,12.477379
1,11.873794666666667,12.609606
1,11.670985333333332,12.729201
1,11.468176,12.804244
1,11.284058666666667,12.813664
1,11.099942666666667,12.76978
1,10.915825333333334,12.71284
1,10.955549333333334,12.674329
