participant,rmse,correlation,r2_score
1,2.0730487311050476,0.8966235235903377,0.7960787085672466
2,3.864124636940412,0.893539998100573,0.17931196446054853
3,2.1845638764705364,0.9211070225312346,0.783486126037866
4,2.0346443518587565,0.9209832605161389,0.8297105377223589
5,2.2972415519731477,0.915737691104049,0.8219969185513331
6,2.8947649104713293,0.8004692417227258,0.6002271569781246
7,2.431290272263436,0.8458279014253528,0.6856396703385037
8,2.7238148452670017,0.88408881925004,0.7570795706907704
9,2.072764885801839,0.925244890099578,0.8549514665106593
10,2.372207787651938,0.9063768799943722,0.7378762327638184
11,2.777089936433422,0.8759599958747363,0.727186617173271
12,2.0577174937483504,0.9479721671536367,0.8654759041990081
13,2.711597138629621,0.8998770206720227,0.7969555545679246
14,2.8042833403950036,0.9554078457297905,0.7847018743367712
15,2.3606213092561017,0.9546506055151328,0.7697614910320643
16,2.66321484442295,0.9581468264963776,0.8200214710121148
