participant,rmse,correlation,r2_score
1,2.462615587734003,0.9059935858815317,0.7041209319518542
2,2.2266738169069513,0.8885706107005035,0.7162001441549251
3,2.4921149105233873,0.8831903607591638,0.7180536617487756
4,2.4474423801577236,0.8689366585763791,0.7489182484275876
5,2.8058470899737453,0.8773257535527547,0.728125410815691
6,2.0028606339063533,0.9208166719906726,0.8079522585678095
7,2.5341703168621503,0.83004761214088,0.6444401690921093
8,3.0810473714201327,0.9114764763639839,0.6824450639541069
9,2.3620434901763585,0.9206769148126303,0.8045684230151237
10,2.11629436009461,0.8898223327063568,0.7910548563644231
11,2.8070475711525384,0.8955205345462597,0.7154547294643544
12,3.3892808629272575,0.918769967231896,0.6399302762046382
13,2.890360165112028,0.8957609267057226,0.7680908907303405
14,4.58733609513216,0.9095452465361216,0.40110049358477073
15,2.4872951325768016,0.8861847932845127,0.7321072028830238
16,3.281263344175086,0.9336370868839203,0.7124986526315578
